,Address,Lot_Size,Price,Unit,latitude,longitude
3,"15984 Browns Canyon Rd, Chatsworth, CA 91311",400.0,1.0,acres lot,34.297,-118.5922
4,"190 Vic Ave #X, Llano, CA 93544",0.77,1921.0,acres lot,34.477,-117.8375
5,"0 Sec Of Mulberry Ave, Hinkley, CA 92347",2.14,2000.0,acres lot,34.931,-117.1997
6,"25 Manzanita Dr, Alturas, CA 96101",1.03,2222.0,acres lot,41.2438,-120.7599
7,"0 Alpine Rd, Alturas, CA 96101",1.8,2997.0,acres lot,41.5,-120.36301
8,"0 Jones Way, California City, CA 93505",0.25,3000.0,acres lot,35.2233,-117.77474
9,"Greeley Dr, California City, CA 93505",0.26,3200.0,acres lot,35.1799,-117.80572
10,"0 Vac 82nd E Vic Drt Ave #V, Littlerock, CA 93543",0.43,3500.0,acres lot,34.530,-117.9840
11,"Felicia Rd, Alturas, CA 96101",0.93,3500.0,acres lot,41.420,-120.634
12,"82nd E Vic Drt Avenue V, Littlerock, CA 93543",0.43,3500.0,acres lot,34.512,-117.9932
13,"033-050-017-000 Kane Spg, Borrego Springs, CA 92004",5.58,4000.0,acres lot,33.2566,-116.37826
14,"33050017000 Kane Spgs, Borrego Springs, CA 92004",5.58,4000.0,acres lot,33.2566,-116.37826
15,"Near Hyundai Boulevard And Arizona, California City, CA 93505",2.5,4000.0,acres lot,35.1258,-117.98590
16,"0 Needles, Amboy, CA 92304",5.0,4000.0,acres lot,34.5577,-115.74444
17,"0 Address Issued, Amboy, CA 92304",5.0,4000.0,acres lot,34.5577,-115.74444
18,"3198 Tract 460, California City, CA 93505",0.37,4000.0,acres lot,35.1258,-117.98590
19,"21-5, Alturas, CA 96101",0.92,4000.0,acres lot,41.4871,-120.54232
20,"Cortez Rd #LU-1, Alturas, CA 96101",0.93,4000.0,acres lot,41.4871,-120.54232
21,"0 Vic Magnolia St, California City, CA 93505",0.54,4000.0,acres lot,35.1258,-117.98590
22,"Vic Magnolia St, California City, CA 93505",0.54,4000.0,acres lot,35.1258,-117.98590
23,"Evans Cir, Alturas, CA 96101",0.34,4000.0,acres lot,41.4055,-120.67466
24,"Gatling Dr, Alturas, CA 96101",0.97,4500.0,acres lot,41.2711,-120.76734
25,"2 Avenue 4448, Mojave, CA 93501",0.29,4500.0,acres lot,49.6967,-112.78202
26,"23022018 Apn, Edwards, CA 93523",0.85,4500.0,acres lot,34.9260,-117.93506
27,"Planet Way, California City, CA 93505",0.26,4500.0,acres lot,35.1820,-117.77534
28,"Alvin St, California City, CA 93505",0.34,4500.0,acres lot,35.1795,-117.77625
29,"Unit Lake Shastina Dr #1-LOT 209, Weed, CA 96094",0.25,4500.0,acres lot,41.522,-122.3746
30,"Apn 235 #212-16, Mojave, CA 93501",2.5,4500.0,acres lot,35.052,-118.17396
31,"0 Apn 498 513 #6-0000, Boron, CA 93516",2.32,4500.0,acres lot,35.0011,-117.66192
32,"Bonanza Rd, Alturas, CA 96101",0.9,4500.0,acres lot,41.2870,-120.79628
33,"260 T Ave, Boron, CA 93516",2.22,4599.0,acres lot,35.0011,-117.66192
34,"225 225th St #E, Mojave, CA 93501",2.5,4599.0,acres lot,35.052,-118.17396
35,"225 Saint E South Of Gordon Blvd #225, Mojave, CA 93501",2.5,4599.0,acres lot,35.052,-118.17396
36,"0 Orchard Rd, Hinkley, CA 92347",2.5,4750.0,acres lot,35.0417,-117.20868
37,"Hidden Vall LOT 199, Weed, CA 96094",0.25,4770.0,acres lot,41.422,-122.38612
38,"15515 Plateau Ct, Hidden Valley Lake, CA 95467",0.25,4900.0,acres lot,38.8305,-122.5643
39,"19580 Park Ridge Dr, Hidden Valley Lake, CA 95467",0.39,4900.0,acres lot,38.79,-122.54710
40,"0 Vallon St, California City, CA 93505",1.84,4900.0,acres lot,35.1468,-117.82267
41,"0 Sanders, Mojave, CA 93501",2.5,4900.0,acres lot,35.052,-118.17396
42,"Esse Blvd, California City, CA 93505",1.67,4950.0,acres lot,35.1408,-117.83425
43,"22222 Anchorhold Dr, Essex, CA 92332",2.5,4950.0,acres lot,34.733,-115.24497
44,"1 Apn 228 #171-46, Boron, CA 93516",0.25,4995.0,acres lot,35.0011,-117.66192
45,"0 Bella Rd, Alturas, CA 96101",0.89,4999.0,acres lot,41.4871,-120.54232
46,"225 Saint E North Of George Blvd #225, Mojave, CA 93501",2.5,4999.0,acres lot,35.052,-118.17396
47,"Vac Lorraine Vic Claymine, Edwards, CA 93523",1.05,4999.0,acres lot,35.027,-117.833
48,"0 Applegate Trl, Alturas, CA 96101",0.35,4999.0,acres lot,41.4107,-120.66910
49,"Rudnick Blvd, California City, CA 93505",0.25,5000.0,acres lot,35.170,-117.8360
50,"Jefferson Road & Echo Rd, Alturas, CA 96101",1.0,5000.0,acres lot,41.4871,-120.54232
51,"223 Cecily Dr, California City, CA 93505",0.33,5000.0,acres lot,35.1882,-117.7366
52,"Hawk, Inyokern, CA 93527",2.5,5000.0,acres lot,35.640,-117.8382
53,"0 Chrysler Dr, Edwards, CA 93523",5.0,5000.0,acres lot,35.1116,-117.825
54,"1234 La Luna Ave, Twentynine Palms, CA 92277",0.62,5000.0,acres lot,34.1339,-116.082
55,"California Pines Boulevard Cp #71, Alturas, CA 96101",1.1,5000.0,acres lot,41.4098,-120.67912
56,"0 White St, California City, CA 93505",0.31,5000.0,acres lot,35.1258,-117.98590
57,"None, Buttonwillow, CA 93206",1.3,5000.0,acres lot,35.3997,-119.47410
58,"Corner 75th Street W & Ave #B12, Lancaster, CA 93536",0.29,5000.0,acres lot,34.6761,-118.20558
59,"Cyril Ct, Edwards, CA 93523",2.56,5000.0,acres lot,34.9260,-117.93506
60,"0 Cyril Ct, Edwards, CA 93523",2.56,5000.0,acres lot,34.9260,-117.93506
61,"7-2 Elk Trail Rd LOT 227, Weed, CA 96094",0.31,5000.0,acres lot,41.4976,-122.367742
62,"0 Grayson St, California City, CA 93505",1.88,5000.0,acres lot,35.1674,-117.81514
63,"West Ave, Mojave, CA 93501",1.14,5000.0,acres lot,35.1197,-118.2046
64,"2 Hill Dr LOT 161, Weed, CA 96094",0.34,5000.0,acres lot,41.422,-122.38612
65,"7500 Corner Avenue B12 Vic St #75, Lancaster, CA 93536",0.29,5000.0,acres lot,34.793,-118.3529
66,"0 Poppy Blvd, Mojave, CA 93501",2.5,5000.0,acres lot,35.132,-118.1132
