,Address,Lot_Size,Price,Unit,latitude,longitude
4,"190 Vic Ave #X, Llano, CA 93544",0.77,1921.0,acres lot,34.477,-117.8375
5,"0 Sec Of Mulberry Ave, Hinkley, CA 92347",2.14,2000.0,acres lot,34.931,-117.1997
6,"25 Manzanita Dr, Alturas, CA 96101",1.03,2222.0,acres lot,41.2438,-120.7599
7,"0 Alpine Rd, Alturas, CA 96101",1.8,2997.0,acres lot,41.5,-120.36301
8,"0 Jones Way, California City, CA 93505",0.25,3000.0,acres lot,35.2233,-117.77474
9,"Greeley Dr, California City, CA 93505",0.26,3200.0,acres lot,35.1799,-117.80572
10,"0 Vac 82nd E Vic Drt Ave #V, Littlerock, CA 93543",0.43,3500.0,acres lot,34.530,-117.9840
11,"Felicia Rd, Alturas, CA 96101",0.93,3500.0,acres lot,41.420,-120.634
12,"82nd E Vic Drt Avenue V, Littlerock, CA 93543",0.43,3500.0,acres lot,34.512,-117.9932
13,"033-050-017-000 Kane Spg, Borrego Springs, CA 92004",5.58,4000.0,acres lot,33.2566,-116.37826
14,"33050017000 Kane Spgs, Borrego Springs, CA 92004",5.58,4000.0,acres lot,33.2566,-116.37826
15,"Near Hyundai Boulevard And Arizona, California City, CA 93505",2.5,4000.0,acres lot,35.1258,-117.98590
16,"0 Needles, Amboy, CA 92304",5.0,4000.0,acres lot,34.5577,-115.74444
17,"0 Address Issued, Amboy, CA 92304",5.0,4000.0,acres lot,34.5577,-115.74444
18,"3198 Tract 460, California City, CA 93505",0.37,4000.0,acres lot,35.1258,-117.98590
19,"21-5, Alturas, CA 96101",0.92,4000.0,acres lot,41.4871,-120.54232
20,"Cortez Rd #LU-1, Alturas, CA 96101",0.93,4000.0,acres lot,41.4871,-120.54232
21,"0 Vic Magnolia St, California City, CA 93505",0.54,4000.0,acres lot,35.1258,-117.98590
22,"Vic Magnolia St, California City, CA 93505",0.54,4000.0,acres lot,35.1258,-117.98590
23,"Evans Cir, Alturas, CA 96101",0.34,4000.0,acres lot,41.4055,-120.67466
24,"Gatling Dr, Alturas, CA 96101",0.97,4500.0,acres lot,41.2711,-120.76734
25,"2 Avenue 4448, Mojave, CA 93501",0.29,4500.0,acres lot,49.6967,-112.78202
26,"23022018 Apn, Edwards, CA 93523",0.85,4500.0,acres lot,34.9260,-117.93506
27,"Planet Way, California City, CA 93505",0.26,4500.0,acres lot,35.1820,-117.77534
28,"Alvin St, California City, CA 93505",0.34,4500.0,acres lot,35.1795,-117.77625
29,"Unit Lake Shastina Dr #1-LOT 209, Weed, CA 96094",0.25,4500.0,acres lot,41.522,-122.3746
30,"Apn 235 #212-16, Mojave, CA 93501",2.5,4500.0,acres lot,35.052,-118.17396
31,"0 Apn 498 513 #6-0000, Boron, CA 93516",2.32,4500.0,acres lot,35.0011,-117.66192
32,"Bonanza Rd, Alturas, CA 96101",0.9,4500.0,acres lot,41.2870,-120.79628
33,"260 T Ave, Boron, CA 93516",2.22,4599.0,acres lot,35.0011,-117.66192
34,"225 225th St #E, Mojave, CA 93501",2.5,4599.0,acres lot,35.052,-118.17396
35,"225 Saint E South Of Gordon Blvd #225, Mojave, CA 93501",2.5,4599.0,acres lot,35.052,-118.17396
36,"0 Orchard Rd, Hinkley, CA 92347",2.5,4750.0,acres lot,35.0417,-117.20868
37,"Hidden Vall LOT 199, Weed, CA 96094",0.25,4770.0,acres lot,41.422,-122.38612
38,"15515 Plateau Ct, Hidden Valley Lake, CA 95467",0.25,4900.0,acres lot,38.8305,-122.5643
39,"19580 Park Ridge Dr, Hidden Valley Lake, CA 95467",0.39,4900.0,acres lot,38.79,-122.54710
40,"0 Vallon St, California City, CA 93505",1.84,4900.0,acres lot,35.1468,-117.82267
41,"0 Sanders, Mojave, CA 93501",2.5,4900.0,acres lot,35.052,-118.17396
42,"Esse Blvd, California City, CA 93505",1.67,4950.0,acres lot,35.1408,-117.83425
43,"22222 Anchorhold Dr, Essex, CA 92332",2.5,4950.0,acres lot,34.733,-115.24497
44,"1 Apn 228 #171-46, Boron, CA 93516",0.25,4995.0,acres lot,35.0011,-117.66192
45,"0 Bella Rd, Alturas, CA 96101",0.89,4999.0,acres lot,41.4871,-120.54232
